,per_blue_win,per_red_win,minute,predicted_label,label
3472,0.88,0.12,26,1,1
16287,0.15,0.85,24,0,0
20395,0.63,0.37,15,1,1
18317,0.06,0.94,28,0,0
12104,0.52,0.48,1,1,0
12538,0.36,0.64,11,0,1
20131,0.45,0.55,0,0,0
11386,0.27,0.73,20,0,0
300,0.65,0.35,20,1,1
3323,0.06,0.94,24,0,0
12288,0.14,0.86,34,0,0
5453,0.32,0.68,11,0,1
1090,0.18,0.82,23,0,0
6811,0.03,0.97,24,0,0
11398,0.45,0.55,15,0,0
17125,0.02,0.98,26,0,0
14034,0.92,0.08,21,1,1
3354,0.52,0.48,0,1,1
1141,0.44,0.56,11,0,1
5459,0.66,0.34,17,1,0
12182,0.0,1.0,35,0,0
5282,0.73,0.27,23,1,1
7042,0.73,0.27,17,1,0
17582,0.04,0.96,22,0,0
20052,0.42,0.58,5,0,1
9064,0.26,0.74,27,0,1
18464,0.5,0.5,2,1,0
20230,0.54,0.46,14,1,1
2908,0.75,0.25,27,1,0
1828,0.51,0.49,6,1,1
2711,0.0,1.0,35,0,0
16231,0.55,0.45,7,1,1
15007,0.5,0.5,5,0,1
749,0.27,0.73,33,0,0
4860,0.52,0.48,15,1,0
19675,0.33,0.67,26,0,0
3672,0.41,0.59,13,0,0
8103,0.9,0.1,17,1,1
18714,0.04,0.96,22,0,0
4015,0.51,0.49,21,1,0
13210,0.53,0.47,7,1,1
8891,0.57,0.43,9,1,1
7692,0.46,0.54,1,0,1
5987,0.04,0.96,31,0,0
1976,0.59,0.41,2,1,1
20612,0.7,0.3,33,1,1
2644,0.35,0.65,13,0,1
7663,0.67,0.33,27,1,1
13692,0.01,0.99,32,0,0
7420,0.43,0.57,6,0,1
5871,0.99,0.01,29,1,1
15044,0.56,0.44,18,1,0
20274,0.07,0.93,34,0,0
4281,0.51,0.49,6,1,1
10451,0.76,0.24,17,1,0
13114,0.51,0.49,3,1,0
10044,0.05,0.95,33,0,0
1427,0.97,0.03,30,1,1
6333,0.23,0.77,12,0,0
18637,0.07,0.93,23,0,0
2293,0.37,0.63,14,0,1
20833,0.66,0.34,19,1,1
13592,0.93,0.07,24,1,1
17454,0.95,0.05,33,1,1
14939,0.49,0.51,8,0,0
2798,0.26,0.74,22,0,0
10463,0.45,0.55,11,0,0
4139,0.43,0.57,5,0,1
2641,0.23,0.77,12,0,1
484,0.58,0.42,5,1,1
7638,0.54,0.46,0,1,0
6817,0.48,0.52,1,0,1
438,0.31,0.69,35,0,0
16490,0.48,0.52,0,0,0
3697,0.49,0.51,9,0,0
8274,0.29,0.71,13,0,0
17528,0.68,0.32,34,1,0
16125,0.83,0.17,32,1,1
3423,0.69,0.31,4,1,1
4719,1.0,0.0,30,1,1
4796,0.48,0.52,0,0,0
7573,0.5,0.5,12,0,0
8392,0.87,0.13,32,1,1
20459,0.56,0.44,0,1,1
15406,0.51,0.49,5,1,0
17616,0.99,0.01,27,1,1
12850,1.0,0.0,28,1,0
15577,0.15,0.85,24,0,0
18169,0.06,0.94,24,0,0
2476,0.51,0.49,3,1,1
110,0.06,0.94,30,0,0
14636,0.5,0.5,7,1,1
16984,0.99,0.01,25,1,1
12546,0.01,0.99,29,0,0
2403,0.39,0.61,3,0,1
12146,0.0,1.0,26,0,0
15924,0.5,0.5,5,1,1
2521,0.02,0.98,29,0,0
19349,0.64,0.36,19,1,0
9093,0.57,0.43,12,1,0
4352,0.04,0.96,28,0,0
15937,0.54,0.46,8,1,0
5350,0.06,0.94,35,0,0
17942,1.0,0.0,31,1,1
17077,0.84,0.16,28,1,1
2539,0.47,0.53,2,0,0
16122,0.23,0.77,30,0,0
20839,0.49,0.51,6,0,0
6712,0.63,0.37,19,1,1
14102,0.5,0.5,9,0,0
6798,0.51,0.49,12,1,0
14025,0.01,0.99,25,0,0
16284,0.26,0.74,14,0,1
1772,0.99,0.01,31,1,1
5073,0.5,0.5,6,0,0
14743,0.33,0.67,9,0,1
2682,0.88,0.12,27,1,1
20257,0.55,0.45,10,1,1
3308,0.5,0.5,28,1,1
17885,0.51,0.49,10,1,1
2745,0.01,0.99,33,0,0
13773,1.0,0.0,31,1,1
16105,0.99,0.01,27,1,1
1475,0.82,0.18,16,1,0
14530,0.44,0.56,5,0,0
10851,0.69,0.31,18,1,0
4994,0.01,0.99,28,0,0
21119,0.53,0.47,15,1,0
19316,0.4,0.6,9,0,0
13279,0.68,0.32,35,1,0
11999,0.94,0.06,21,1,1
19579,0.01,0.99,23,0,0
10686,0.8,0.2,17,1,1
10401,0.59,0.41,32,1,1
18201,0.56,0.44,7,1,0
16354,0.51,0.49,9,1,0
6639,0.61,0.39,15,1,1
5457,0.55,0.45,10,1,1
6192,0.52,0.48,8,1,0
19109,0.38,0.62,11,0,1
5952,0.18,0.82,20,0,0
11629,0.57,0.43,16,1,0
4124,0.33,0.67,21,0,0
14066,0.95,0.05,36,1,1
13133,0.52,0.48,6,1,0
5469,0.6,0.4,7,1,0
9877,0.8,0.2,23,1,1
19527,0.01,0.99,33,0,0
5930,0.91,0.09,22,1,1
7039,0.18,0.82,21,0,0
10961,0.44,0.56,2,0,1
16503,0.38,0.62,13,0,0
7168,0.39,0.61,12,0,0
8711,0.76,0.24,19,1,0
7331,0.99,0.01,24,1,1
19380,0.02,0.98,29,0,0
13627,0.49,0.51,1,0,1
10296,0.95,0.05,34,1,1
19891,0.56,0.44,6,1,0
3847,0.49,0.51,1,0,0
17581,0.46,0.54,2,0,0
21145,0.66,0.34,18,1,0
16542,0.98,0.02,27,1,1
9090,0.91,0.09,32,1,1
18325,0.35,0.65,13,0,1
7958,0.45,0.55,1,0,1
183,0.6,0.4,18,1,0
10129,0.32,0.68,23,0,0
7687,0.47,0.53,16,0,0
10122,0.58,0.42,6,1,1
3272,0.68,0.32,19,1,0
14805,0.2,0.8,34,0,0
7511,0.81,0.19,36,1,1
3486,0.97,0.03,22,1,1
6603,0.39,0.61,13,0,0
17897,0.51,0.49,15,1,1
16931,0.46,0.54,10,0,1
10182,0.18,0.82,26,0,0
7146,0.67,0.33,18,1,0
246,0.83,0.17,36,1,1
16221,0.93,0.07,23,1,1
6349,0.63,0.37,16,1,1
10560,0.53,0.47,8,1,1
17782,0.31,0.69,12,0,0
2510,0.53,0.47,16,1,0
7651,0.98,0.02,23,1,1
15371,0.47,0.53,33,0,1
16096,0.68,0.32,17,1,1
19996,0.29,0.71,28,0,0
10345,0.45,0.55,31,0,1
12088,0.43,0.57,12,0,0
1201,1.0,0.0,36,1,1
694,0.22,0.78,24,0,0
10599,0.21,0.79,23,0,0
12749,0.41,0.59,14,0,1
19184,0.51,0.49,8,1,0
1026,0.98,0.02,32,1,1
891,0.81,0.19,20,1,1
2802,0.75,0.25,26,1,0
20114,0.53,0.47,4,1,0
14399,0.63,0.37,26,1,1
10721,0.99,0.01,32,1,1
6141,0.5,0.5,22,1,0
20658,0.38,0.62,11,0,0
1998,0.24,0.76,12,0,1
551,0.94,0.06,35,1,1
16722,0.49,0.51,8,0,0
221,0.54,0.46,4,1,1
18460,0.47,0.53,11,0,0
12367,0.41,0.59,25,0,0
12150,0.84,0.16,26,1,0
3261,0.23,0.77,22,0,0
4665,0.02,0.98,26,0,0
9039,0.15,0.85,35,0,0
21257,0.93,0.07,25,1,1
5878,0.78,0.22,23,1,0
44,0.54,0.46,18,1,0
17024,0.49,0.51,1,0,0
19150,0.63,0.37,15,1,1
11548,0.02,0.98,30,0,0
14734,0.43,0.57,1,0,0
3785,0.93,0.07,25,1,1
12273,0.11,0.89,28,0,0
7293,0.4,0.6,8,0,0
20737,0.68,0.32,0,1,0
16015,0.82,0.18,26,1,1
21191,0.01,0.99,33,0,0
17777,0.45,0.55,3,0,0
6923,0.38,0.62,20,0,0
7193,0.42,0.58,1,0,1
989,0.47,0.53,9,0,0
17911,0.03,0.97,35,0,0
21112,0.41,0.59,7,0,0
4348,0.66,0.34,2,1,1
2779,0.59,0.41,33,1,1
12516,0.09,0.91,24,0,0
19196,0.53,0.47,8,1,0
12688,0.96,0.04,30,1,1
18221,0.82,0.18,20,1,1
16725,0.7,0.3,31,1,1
1988,0.77,0.23,17,1,0
11779,0.62,0.38,15,1,1
11802,0.93,0.07,26,1,1
9598,0.42,0.58,2,0,1
5690,0.41,0.59,20,0,0
13790,0.97,0.03,23,1,1
8562,0.52,0.48,3,1,1
7952,0.44,0.56,8,0,0
6824,0.98,0.02,36,1,1
8030,0.92,0.08,27,1,1
10499,0.47,0.53,4,0,1
19256,0.33,0.67,12,0,1
20452,0.35,0.65,1,0,0
3835,0.52,0.48,1,1,0
4244,0.61,0.39,24,1,0
2590,0.29,0.71,5,0,0
18012,0.81,0.19,18,1,1
14571,0.44,0.56,4,0,1
11179,0.98,0.02,36,1,1
21454,0.99,0.01,27,1,1
12459,0.53,0.47,4,1,1
16378,0.52,0.48,11,1,1
12011,0.85,0.15,17,1,0
5975,0.99,0.01,33,1,1
19990,0.04,0.96,33,0,0
12028,0.48,0.52,13,0,0
3087,0.76,0.24,18,1,0
6183,0.38,0.62,5,0,0
15557,0.89,0.11,20,1,1
17457,0.64,0.36,15,1,1
8061,0.51,0.49,3,1,0
11419,0.92,0.08,34,1,1
19193,0.61,0.39,21,1,1
12082,0.32,0.68,14,0,0
14302,0.05,0.95,22,0,0
3257,0.59,0.41,2,1,0
13794,0.7,0.3,16,1,1
5736,0.57,0.43,14,1,1
12716,0.97,0.03,36,1,1
18025,0.5,0.5,25,1,1
3439,1.0,0.0,31,1,1
12213,0.49,0.51,2,0,0
10158,0.03,0.97,21,0,0
4364,0.5,0.5,22,1,0
5860,0.56,0.44,2,1,0
12629,0.03,0.97,31,0,0
11290,0.37,0.63,10,0,0
16760,0.9,0.1,35,1,1
7201,0.44,0.56,5,0,1
11408,0.57,0.43,23,1,1
17965,0.65,0.35,16,1,0
17773,0.78,0.22,19,1,1
17546,0.33,0.67,10,0,1
1955,0.02,0.98,35,0,0
10557,0.77,0.23,18,1,1
12026,0.96,0.04,36,1,0
5990,0.49,0.51,5,0,0
9242,0.01,0.99,27,0,0
4383,0.33,0.67,12,0,1
3364,0.58,0.42,4,1,1
3505,0.55,0.45,20,1,0
21324,0.75,0.25,17,1,0
4464,0.58,0.42,9,1,1
7640,0.57,0.43,1,1,1
5593,0.65,0.35,32,1,0
14916,0.69,0.31,18,1,1
596,0.48,0.52,7,0,0
15825,0.0,1.0,35,0,0
13343,0.55,0.45,20,1,1
19979,0.01,0.99,27,0,0
13843,0.48,0.52,3,0,0
19426,0.03,0.97,29,0,0
10200,0.56,0.44,19,1,1
14661,0.92,0.08,21,1,1
15730,0.61,0.39,18,1,0
10338,0.43,0.57,9,0,1
13191,0.49,0.51,23,0,0
6560,0.32,0.68,9,0,0
8263,0.25,0.75,9,0,1
19284,0.02,0.98,35,0,0
6211,0.91,0.09,24,1,1
16708,0.48,0.52,3,0,1
13754,0.47,0.53,7,0,0
2874,0.08,0.92,23,0,0
17584,0.62,0.38,24,1,0
10008,0.45,0.55,3,0,0
17156,0.79,0.21,19,1,0
391,0.0,1.0,33,0,0
10780,0.98,0.02,36,1,1
11833,0.32,0.68,11,0,0
18477,0.71,0.29,18,1,0
4921,0.39,0.61,23,0,1
12964,0.33,0.67,34,0,1
19985,0.8,0.2,20,1,1
1953,0.55,0.45,15,1,1
14651,0.48,0.52,14,0,1
6874,0.51,0.49,10,1,1
12958,0.38,0.62,12,0,1
10329,0.56,0.44,1,1,1
13733,0.68,0.32,16,1,1
13193,0.99,0.01,26,1,1
17251,0.67,0.33,25,1,1
8812,0.46,0.54,1,0,1
12156,0.06,0.94,22,0,0
168,0.01,0.99,32,0,0
231,0.03,0.97,22,0,0
11021,0.01,0.99,34,0,0
16007,0.44,0.56,11,0,1
72,0.48,0.52,7,0,1
9474,0.93,0.07,27,1,1
20171,0.5,0.5,8,1,0
19080,0.97,0.03,21,1,1
8010,0.07,0.93,35,0,0
6207,0.33,0.67,23,0,0
1174,0.95,0.05,25,1,1
8075,0.43,0.57,7,0,1
10202,0.05,0.95,35,0,0
18359,0.5,0.5,1,1,1
9396,0.66,0.34,17,1,1
2430,0.35,0.65,20,0,0
4792,0.91,0.09,22,1,1
8927,0.02,0.98,36,0,0
17654,0.99,0.01,29,1,1
3401,0.39,0.61,16,0,0
4127,0.02,0.98,25,0,0
17579,1.0,0.0,35,1,1
18963,0.45,0.55,4,0,0
14937,0.87,0.13,22,1,0
4492,0.02,0.98,34,0,0
15028,0.4,0.6,6,0,0
17983,0.48,0.52,7,0,1
13205,0.65,0.35,16,1,0
9296,0.64,0.36,19,1,0
16765,0.14,0.86,22,0,0
7260,0.46,0.54,13,0,1
8029,0.0,1.0,27,0,0
1603,0.75,0.25,17,1,0
6503,0.04,0.96,27,0,0
15616,0.72,0.28,18,1,1
18572,0.0,1.0,29,0,0
12303,0.48,0.52,0,0,1
13394,0.8,0.2,18,1,1
16465,0.34,0.66,25,0,1
82,0.53,0.47,14,1,1
14674,0.49,0.51,0,0,0
10041,0.25,0.75,27,0,0
10429,0.98,0.02,24,1,1
21322,0.6,0.4,18,1,0
15065,0.82,0.18,23,1,1
17699,0.13,0.87,34,0,0
14439,0.99,0.01,33,1,1
18107,0.0,1.0,26,0,0
4421,0.76,0.24,20,1,1
4779,0.46,0.54,14,0,1
16590,0.47,0.53,4,0,1
13036,0.56,0.44,15,1,0
7629,0.46,0.54,0,0,0
813,0.53,0.47,36,1,1
12493,0.87,0.13,24,1,1
1621,0.99,0.01,31,1,1
3695,0.53,0.47,22,1,1
1633,0.01,0.99,33,0,0
19905,0.63,0.37,15,1,1
19776,0.53,0.47,0,1,0
5185,0.57,0.43,14,1,0
1945,0.85,0.15,21,1,1
4633,0.06,0.94,24,0,1
8326,0.42,0.58,5,0,1
1758,0.71,0.29,16,1,1
92,0.58,0.42,6,1,0
12191,1.0,0.0,32,1,1
324,0.71,0.29,18,1,1
12175,0.47,0.53,1,0,0
8816,0.34,0.66,12,0,1
15132,0.07,0.93,21,0,0
19546,0.03,0.97,29,0,0
17315,0.71,0.29,30,1,1
3136,0.59,0.41,0,1,1
2085,0.85,0.15,33,1,0
5424,0.41,0.59,4,0,1
20325,0.58,0.42,6,1,1
14590,0.43,0.57,10,0,1
17849,0.53,0.47,4,1,1
6069,1.0,0.0,31,1,1
8471,0.01,0.99,34,0,0
20425,0.36,0.64,13,0,1
945,0.61,0.39,2,1,1
12399,0.13,0.87,28,0,0
343,0.6,0.4,15,1,0
13215,0.51,0.49,3,1,0
5886,0.45,0.55,10,0,1
9518,0.29,0.71,9,0,1
6860,0.52,0.48,27,1,1
14070,0.76,0.24,23,1,0
811,0.69,0.31,18,1,0
4641,0.04,0.96,25,0,0
14687,0.85,0.15,22,1,0
15320,0.02,0.98,28,0,0
6907,1.0,0.0,35,1,1
14717,0.97,0.03,27,1,1
19756,0.68,0.32,15,1,1
13390,0.97,0.03,34,1,1
11159,0.47,0.53,1,0,1
18112,0.42,0.58,8,0,0
19476,0.46,0.54,14,0,1
11832,0.47,0.53,0,0,0
6916,0.6,0.4,17,1,0
9211,0.43,0.57,15,0,1
8688,0.01,0.99,30,0,0
5082,1.0,0.0,34,1,1
16285,0.5,0.5,6,0,1
8390,0.48,0.52,5,0,0
11390,0.49,0.51,16,0,0
9899,0.55,0.45,5,1,1
16568,0.76,0.24,30,1,1
10255,0.92,0.08,34,1,0
6729,0.24,0.76,27,0,0
17778,0.98,0.02,36,1,1
6187,0.52,0.48,16,1,1
3946,0.22,0.78,20,0,0
8501,0.84,0.16,24,1,1
20194,0.32,0.68,11,0,0
2647,0.31,0.69,7,0,1
3746,0.05,0.95,21,0,0
1440,0.32,0.68,14,0,1
15979,0.48,0.52,10,0,0
20901,0.66,0.34,13,1,1
9671,0.48,0.52,12,0,0
19718,0.43,0.57,3,0,1
3406,0.9,0.1,25,1,1
10645,0.4,0.6,9,0,0
17323,0.56,0.44,2,1,1
11446,0.51,0.49,10,1,0
7364,0.66,0.34,19,1,0
6890,0.57,0.43,17,1,0
17153,0.88,0.12,34,1,1
9972,0.71,0.29,19,1,0
17218,0.48,0.52,2,0,1
17469,0.44,0.56,7,0,1
8423,0.83,0.17,17,1,0
14247,0.38,0.62,7,0,0
13183,0.59,0.41,15,1,0
17089,0.01,0.99,32,0,0
5240,0.58,0.42,16,1,1
20358,0.41,0.59,12,0,1
4904,0.93,0.07,33,1,1
12825,0.63,0.37,15,1,0
8161,0.5,0.5,10,0,1
1520,0.79,0.21,17,1,1
3247,0.47,0.53,6,0,0
4694,0.09,0.91,21,0,0
5440,0.31,0.69,13,0,1
1289,0.01,0.99,23,0,0
1113,0.72,0.28,18,1,0
14424,0.43,0.57,8,0,0
11206,0.07,0.93,35,0,0
8214,0.11,0.89,22,0,0
19116,0.46,0.54,4,0,1
4300,0.44,0.56,3,0,0
14287,0.81,0.19,20,1,1
9692,0.6,0.4,24,1,1
12341,0.42,0.58,6,0,1
13799,0.45,0.55,2,0,1
1421,0.01,0.99,27,0,0
2385,0.49,0.51,3,0,0
3198,0.42,0.58,11,0,0
14871,0.92,0.08,33,1,1
9270,0.7,0.3,18,1,1
3874,0.98,0.02,35,1,1
19754,0.23,0.77,32,0,0
2752,0.82,0.18,23,1,1
5617,0.78,0.22,36,1,0
3419,0.01,0.99,33,0,0
18331,0.01,0.99,35,0,0
15120,0.14,0.86,32,0,0
4913,0.97,0.03,22,1,1
7936,0.97,0.03,24,1,1
17804,0.03,0.97,25,0,0
16729,0.65,0.35,32,1,1
2741,0.86,0.14,28,1,1
9691,0.51,0.49,1,1,0
7167,0.62,0.38,16,1,1
19371,0.72,0.28,20,1,1
16988,0.97,0.03,36,1,1
12083,0.73,0.27,32,1,1
4286,0.69,0.31,17,1,1
5824,0.28,0.72,29,0,1
1247,0.11,0.89,32,0,0
2131,0.17,0.83,24,0,1
7935,0.99,0.01,26,1,1
13909,0.13,0.87,29,0,0
5911,0.78,0.22,31,1,1
9280,0.6,0.4,19,1,1
7198,0.65,0.35,17,1,0
20921,0.42,0.58,1,0,0
4828,0.28,0.72,13,0,1
14276,0.43,0.57,6,0,1
9006,1.0,0.0,32,1,1
19549,0.47,0.53,5,0,1
10318,0.46,0.54,1,0,1
20430,0.83,0.17,17,1,0
15933,0.48,0.52,2,0,0
5215,0.97,0.03,25,1,1
8973,0.48,0.52,0,0,1
8984,0.0,1.0,31,0,0
7939,0.84,0.16,26,1,1
11124,0.07,0.93,32,0,0
9530,0.4,0.6,11,0,0
12542,0.52,0.48,30,1,0
17473,0.42,0.58,28,0,0
13687,0.11,0.89,33,0,0
4677,0.43,0.57,23,0,0
12600,0.35,0.65,14,0,0
6873,0.49,0.51,14,0,1
10636,0.02,0.98,30,0,0
20132,0.66,0.34,20,1,0
18687,0.42,0.58,13,0,1
6054,0.32,0.68,23,0,0
18533,0.55,0.45,6,1,0
16980,0.67,0.33,18,1,0
20448,0.98,0.02,22,1,1
9426,0.99,0.01,34,1,1
10610,0.02,0.98,31,0,0
18968,0.47,0.53,2,0,0
10776,0.48,0.52,1,0,0
13355,0.43,0.57,0,0,0
1236,0.77,0.23,17,1,0
4289,0.68,0.32,17,1,0
6364,0.33,0.67,12,0,1
2591,0.62,0.38,19,1,1
17318,0.59,0.41,15,1,0
18935,0.41,0.59,8,0,0
1850,0.37,0.63,13,0,0
1013,0.07,0.93,34,0,0
